,Text
3072,laptop xịn thích hợp cho người chơi game í lộn người học tập
3073,Sản phẩm tốt trong tầm giá 16 tr
3077,Thấy kết nối mạng ở nhà kém vì cứ mất sao sao
3081,Máy khoẻ phù hợp cho dev
3083,Sản phẩm rất tốt các anh chị nhân viên thì thân thiện dễ thương
3085,Máy bị xung đột hyper v thì sửa như nào ạ
3086,sp chất lượng cao ạ
3088,Mình dùng sản phẩm đã được gần 1 tháng thấy máy dùng ocee mượt mà
3089,"Sản phẩm tốt , được tặng chuột nhưng mà chưa thấy chuột về @@"
3090,Sản phẩm tốt. Có điều bảo hành hơi xa muốn nâng cấp linh kiện cũng phải đợi 15 ngày
3091,"Máy chạy ổn, chơi game nhẹ nhàng được, nhưng không hiểu wifi bị sao mà hay rớt, nhất là khi mới khởi động máy, đã reset cài đặt nhưng chưa hết dứt điểm, phải theo dõi thêm"
3093,"Mình dùng vẫn bình thường nhưng lần này máy bắt buộc phải update mới cho tắt, mình cũng update nhưng máy cứ quay quay thì phải làm sao ạ"
3094,Mọi người nên mua nhé :D
3096,Shop cho mình hỏi là pin trung bình tầm bao lâu là hết vậy ạ. Máy mình mới mua mà chơi game ( cụ thể là liên mình thì tầm 1h30-2h ) là hết còn chạy cái phần mềm bình thường khác là 4-5h. Vậy là pin có lỗi không ạ?
3105,"Chất lượng phục vụ và tư vấn của tgdd tốt. Máy nhám, kim loại nên rất dễ để lại vân tay nếu tay ra mồ hôi. Tạm thời thấy khá mượt nhưng hơi thất vọng về tốc độ so vs mình nghĩ. Máy sử dụng tầm 3h là hết pin, và hơi nóng. Mình chưa tìm hiểu một vài công dụng khác nên chưa có đánh giá"
3106,Phuc vụ rất hài lòng
3107,"Sao mình chơi liên minh mà máy nóng quá, không biết có vấn đề gì không nhỉ? Còn lại thì máy xài cũng tốt"
3108,Máy chạy khá ổn chỉ là Pin nhanh hết so với mình nghĩ.
3110,"Loa bé, thỉnh thoảng không nghe thấy"
3116,Máy xử lý nhanh. Cũng rất mượt
3119,Mua cái máy gần 17tr mà tặng con chuột dây
3120,Chơi game thì rất là nóng ngoài ra thì mọi thứ bình thường rất ổn
3122,Mới mua máy được 1 tháng mà đang giải trí tự nhiên máy đứng hình cảm thấy rất bực mình
3123,Sp ok. Nhân viên rất nhiệt tình
3126,5 * cho nhân viên
3127,Máy rất tốt nhé
3128,"máy vẫn dùng tốt tuy nhiên. có rất nhièu thứ khiến mình không hài lòng.  úc mua các nhân viên không tư vấn rõ chế độ bảo hành các kiểu và chỉ lo chốt máy. lúc mua về mới hỏi thì thấy chế độ bảo hành chậm, tốn rất nhiều thời gian. rồi nhiều thứ như 1 sỗ lỗi phát sinh do phần mềm mình nhờ hỗ trợ online cũng không được bắt buộc phải ra cửa hàng. một số phần mềm của máy mình chưa biết sử dụng hỏi thì nhân viên bảo hành cũng không biết nốt. tóm lại máy sử dụng tốt, còn dịch vụ chưa tốt"
3129,Mạnh lắm nha 😍😍😍
3131,Dùng rất ok đấy
3136,Máy mới sử dụng vẫn đang rất mượt chưa lỗi gì rcm mn nên mua nhé.Nếu giữ cẩn thận có thể dùng được lâu dài
3139,"Máy bắt mạng wifi hơi kém , thi thoảng bị mất kết nối internet"
3140,Thỉnh thoảng hay mất wifi
3144,Nhân viên nhiệt tình sản phẩm tốt
3145,"Quá tuyệt vời, máy cực kì chất lượng nha mn, khuyên mn nên mua."
3146,"Sản phẩm rất ok, mỗi tội chạy win11 nên còn nhiều lỗi nhưng không sao mình đã fix ok và dùng không có gì xảy ra"
3147,"- Máy mới sử dụng 1 tháng đã dính lỗi đang dùng bị tắt không khởi động lại được
- chính sách bảo hành kém, muốn bảo hành phải mất 15 ngày, nếu nhanh hơn thì phải mang ra nội thành, mình mua hàng ở gần ngoại thành nhưng không có được ưu thế bảo hành gần"
3148,Rất thích và hài lòng với mẫu mã của máy
3149,"mình mới lấy nhưng sao lại màu màn hình hơi ngả vàng dù cho đã tắt chế độ NightLight
Không hiểu sao như sai màu"
3150,"Pin tuột rất nhanh, mặc dù đã được tư vấn là pin cầm 4 tiếng, nhưng chưa được 2 tiếng đã hết pin"
3151,"Quá nhiều lỗi.

Lâu lâu không lên nguồn. Đem đi BH thì nhân viên TGDD rất kiên trì bấm bật máy đến khi nó lên nguồn thì thôi và kết quả là máy đã lên nên hãng không kiểm tra lỗi được. Lại trả về kêu dùng tạm trong khi mình làm việc mà mỗi lần bảo hành là hơn nửa tháng.

Không sleep được. Nếu đóng máy xuống sau đó để 1 lúc lâu thì mở máy không lên hình, phải giữ nút nguồn tắt đi mở lại rất bực khi dùng lap.

Lâu lâu không nhận card wifi, biến mất hoàn toàn trong Device Manager.

Vài lỗi vặt nữa"
3152,"máy dùng tốt, nhỏ, gọn, nhẹ, cứng, mượt
có chút trục trặc tuy nhiên nhân viên xử lí rất nhanh"
3154,"Chị nhân viên phục vụ nhiệt tình dễ thương phải nói là quá ok :)))
Máy đẹp cấu hình khá ok trong tầm giá.
Ngoại hình mỏng nhẹ mướt ."
3155,"cho mình hỏi , muốn nâng thêm ram 8g thì mình mang ra hãng hay ra thế giới di động , cho mình xin thông tin"
3156,Hàng mua cũ nhưng xài cực êm
3157,"Máy này mua rất ưng ý và nhân viên phục vụ rất tốt luôn
Dùng Photoshop edit video này kia khá ok
Chip amd nên hơi nóng tí 
Máy này mà nâng ram chạy dual để tận dụng hết sức mạnh của máy"
3158,Bàn phím nông. Cảm giác đánh ko thích.pin dược khoảng 3 tiếng thôi.  Loa  tiếng rất nhỏ. Được cái máy nhẹ và có bàn phím nâng chống nóng máy.
3160,"Xài ổn, anh nhân viên giao hàng hướng dẫn nhiệt tình, máy nhỏ gọn nhẹ."
3161,"Cho mình hỏi máy mình mua lúc 28 tết âm lịch giá 16tr9 mà dùng máy thường xuyên bị xanh màn và khởi động lại, bị từ lúc mới mua nhưng do mình ít dùng nên chủ quan, gần đây dùng nhiều và thường xuyên bị vậy mình mang máy đến trung tâm hỗ trợ mình được không ạ"
3162,Sản phẩm và dịch vụ chất lượng
3164,Cho mình hỏi tại sao mình mua máy mới ở cửa hàng mà ở hộp lại có dán 2 loại băng dính khác nhau về nhà kiểm tra kĩ hơn thìthaays thân máy bị xước 1-2 vết mình muốn đổimays mới thì phải làm sao
3166,"Không hiểu sao máy mới mua mà bị tụt pin nhanh vậy, tắt hẳn máy rồi đc vài tiếng mở lên đã tụt 4-5%  có lúc còn hẳn 10% pin bị tụt khi tắt máy qua đêm, thỉnh thoảng có đơ một chút. Thường máy mới mua vài ngày đâu thể bị tụt pin nhanh vậy"
3167,"Máy dùng khá ổn trong 2 ngày đầu. Nhưng mà cho tôi hỏi là trong MSI Center Pro, phần Application Optimizer và phần Performance Optimizer khi nhấn vào 2 phần này thì nó không hiện giao diện của nó, cho hỏi làm cách nào để khắc phục được tình trạng này vậy."
3168,"Cho mình hỏi bên cty có thu lại máy cũ ko ạ! Mình mua tgdd hồi tháng 5, có cài office bản quyền 2021 vĩnh viễn! Mình pass nâng cấp lên laptop Dell"
3170,"nhan vien vui ve nhiet tinh, may xai rát tot. khach vip tgđd 10 nam nay se tiep tuc ung ho"
3171,"máy hiện tại vẫn dùng đang ổn, dùng các tác vụ văn phòng thì thấy mượt, nhưng loa hơi nhỏ"
3172,"Máy nhỏ nhẹ. Pin lâu. Chạy ổn tác vụ nhẹ, văn phòng.
Bàn phím rất nông, có vẻ nhanh hỏng, trải nghiệm rất tệ. Hiện tại phải sử dụng bàn phím ngoài."
3173,"Với tầm giá này thì máy này mình nghĩ cũng ổn, chỉ có vấn đề là loa hơi nhỏ, nhiệt độ của máy lên khá nhanh và khe tản nhiệt của máy lại thổi thẳng vào màn hình. Còn những thứ khác mình cảm nhận là ổn."
3174,máy nhẹn. chỉ mỗi việc loa nhỏ. bắt wifi hơi yếu hơn so với máy khác ở nhà. thấy ổn nhưng mà sao hnat nó giảm hẳn 500k huhu chênh nhau 1 ngày mất 500k bùn quá :(
3175,Máy dùng ổn có mỗi tội loa hơi nhỏ🥲
3176,"Mình mua máy mới được 1 ngày, thấy pin xuống rất nhanh (xuống nhanh rõ thấy), mặc dù chỉ mở 1 tab chrome, không biết có cách nào khắc phục không?"
3177,"Mua máy được mấy ngày, máy cấu hình ổn, khung viền kiểm loại chắc chắn, thiết kế mỏng nhẹ và gọn gàng dễ di chuyển. Tác vụ văn phòng ok, pin dùng lâu hết, màn hình IPS đẹp. Mạnh về phân khúc giá"
3182,Nhân viên phục vụ rất tận tình. Về phần máy thì quá OK so với số tiền bỏ ra. Nói chung rất hài lòng về ĐMX❤️
3183,bạn hãy thử để ý lúc khởi động máy trong phòng tối có thấy ht hở sáng k ạ
3184,"Xem xét về mặt cấu hình thì máy khá mạnh, sử dụng thực tế chạy khá mượt như văn phòng, photoshop,...... Mình thì chỉ chú trọng vào kích thước và cấu hình khá ổn trong tầm giá này

Ưu điểm: 
Máy nhỏ gọn
Máy khá nhẹ
Chạy mượt
Tác vụ xử lý nhanh
Phím bấm khá xịn

Nhược điểm:
Loa hơi nhỏ
Kết nối các thiết bị Bluthoothe có hơi rè 1 chút
Màn nếu thêm OLED nữa thì tuyệt"
3200,Máy hơi chậm
3203,Máy Sài mượt đẹp sang
3209,"khuyên bác nên tháo cây 4Gb ra, lắp cây 8Gb bus 3200. có điều kiện lắp 16Gb luôn càng tốt"
3210,"tôi mới mua máy đc khoản 15 ngày, máy này gắn thêm cây Ram 4G được ko shop? sản phẩm chạy tạm ổn."
3211,"mua máy xong hối hận, không cài được gì, uổn phí, balo hiệu gì mà như đồ chợ 35 ngàn, noi chung thất vọng"
3212,"Máy không có gì để chê sau 3 tuần sử dụng, bản lề máy thì mở ở giữa sẽ hạn chế lỗi bung, còn lại thì tốt hết, máy nóng thì vào dell power chỉnh quạt là ok. Tôi ko chơi game Nên mua con này vì có office 2021 đáp ứng hết các công việc. Ram 4GB là quá mượt"
3213,"bạn ơi, máy này dùng thì nó sẽ nhanh nóng hơn ở phần dưới so với cái máy khác đk ạ?"
3214,Sản phẩm rất tệ rất yếu
3215,"mình mới mua con này hôm qua nghe đánh giá mng sợ quá mình dùng đến thời điểm này có thấy lúc đầu mình mở nhìu tab lag thui chứ chưa thấy j nghiêm trọng mng có ai đang sử dụng thì gợi ý mình với"""
3216,Máy k đc chắc lắm. Nhiệt độ hơi cao
3217,Dùng để học và làm việc thấy tốt và ổn.
3219,Trong khoảng tầm giá có i5 chạy đáp ứng đủ nhu cầu học tập-văn phòng
3220,"Sau khi sd đc 10 ngày, mình thấy máy chạy khá ok la, mượt nhạy đáp ứng đủ nhu cầu sd của mình
Tuy nhiên với tầm giá này thì có 1 vài điều mình k thích lắm, pin khoảng 3 tiếng sạc đầy 100%( mình  hc onl quá skype 1h40p hết 60% r), win 11 nên còn nhiều lỗii, mình sd bộ gõ tiếng trung k đc phải sd đến phần mềm t3 can thiệp vào, không cài đc tiếng việt trên máy như win 10 mình từng sd. Nhân viên DMX Ea Rốk phục vụ rất tận tình, 10₫ dịch vụ ạ"
3221,Máy đẹp nhân viên tư vấn nhiệt tình
3222,"Sản phẩm tốt chất lượng, tư vấn tận tình"
3223,"Mình mua máy gần 1 tháng nhưng chứ hài lòng lắm : bộ sạc (adapter) rất nhanh nóng, chỉ sạc 1 tiếng , pin chưa đầy mà bộ sạc đã rất nóng nên phải tháo bọ sạc ra chờ nguội rồi mới sạc tiếp. Khe tản nhiệt nằm mặt dưới của máy nên cũng có nhiều hạn chế. so với các máy có khe tản nhiệt nằm 1 bên. Khi dùng phải có giá kê nếu không máy không tản nhiệt được sẽ rắt nóng"
3226,"máy tốt, nhân viên tư vấn nhiệt tình, dùng mượt, chưa gặp vấn đề gì"
3227,"b học tiếng trung trên máy có ổn k ạ, mình đang tham khảo máy để học tiếng. máy sd có dễ k b?. vì m k hiểu rõ về máy tính"
3228,Tôi mua điện thoại máy tính ở thế giới Di Động hiện tại dùng rất tốt tôi được một cậu nhân viên tên Nam tư vấn rất nhiệt tình và giao hàng đúng ngày giờ còn hướng dẫn tôi cách sử dụng
3233,Làm sao để khắc phục lỗi này ạ
3234,"Máy core i5 với giá sale còn ≈16tr xem như khá ngon rồi. Mình mua được hơn một tuần, khởi động nhanh, các tác vụ xử lý tốt và bắt wifi khá ổn. Pin ok, mở trình chiếu lên TV để dạy suốt gần 2 tiếng đồng hồ vẫn còn được tận 80%. Có phần quét vân tay hơi hên xui, lúc được lúc không."
3237,"Máy mới mua, chưa đụng gì nhiều, khởi động lên gặp lỗi như này, tuy sau đó lại vào như bình thường, nhưng mình thấy không hài lòng, mong nhận được sự giải đáp, cảm ơn"
3238,Máy dùng cho văn phòng và các tác vụ cơ bản rất tốt. Cấu hình ổn trong tầm giá. Chạy mượt mà không lag. Nhân viên tư vấn và hỗ trợ nhiệt tình. Chất lượng dịch vụ tốt.
3239,"Laptop cực mạnh chơi game, viết code nặng tốt, trọng lượng nhẹ, trắng sang trọng như macbook.
Chạy êm ít hư vặt. Nhân viên TGDD hỗ trợ nhiệt tình."
3240,máy chạy hơi ồn
3241,"Đẹp, mượt, hỗ trợ nhiệt tình"
3244,"Ở điểm xã Vĩnh Hoà Hưng Bắc, nhân viên tư vấn nhiệt tình và hỗ trợ khách hàng đầy đủ"
3245,lap xái khá tốt mình xài nhẹ nên rất mượt nhưng ko hiểu sao cái camera của munhf ko dùng được rất bực học onl mà ko bật cam mình bị cô la hoài ( camera lúc nào mình bật lên cũng bị i như trong hình  dù đèn có sáng ) làm ơn chỉ cahs bật lên giùm mình đi mình có vô ktr thì thấy mấy cái ứng dụng cần bật cam mình đếu cho phép hết r
3247,mở my asus tắt mic và loa là được nhe
3249,"Máy chạy nhanh, nhân viên tư vấn nhiệt tình."
3250,"Máy nhanh, cập nhật phần mềm hơi nhiều lần"
3251,"Sản phẩm chất lượng, phong cách phục vụ khách hàng tận tâm nhiệt tình"
3252,"Tôi đã mua và sử dụng hơn 1 tháng và cảm thấy sản phẩm tốt trong tầm giá. Về ưu điểm: Máy có cấu hình mạnh, màn hình đẹp, ngoại hình tương đối gọn nhẹ và đẹp, pin tương đối đủ dùng khi điều chỉnh mức ảnh sáng phù hợp; Về hạn chế: Loa khá nhỏ + webcam độ phân giải VGA nên còn nhiều hạn chế nên không thuận lợi lắm trong học trực tuyến.
Nhân viên Thế giới di động số 01 đường Ngô Quốc Trị, phường 5, TP. Vị Thanh, tỉnh Hậu Giang rất nhiệt tình, thân thiện trong việc tư vấn, hướng dẫn sử dụng sản phẩm."
3254,Lap dùng tốt ạ
3255,Sản phẩm tốt trong tầm giá
3257,"Trải nghiệm thực tế trên window 11 rất mượt mà, chưa có hiện tượng giật lag hoặc các vấn đề lỗi."
3259,"Màn đẹp, cấu hình tốt với tầm giá cho một con Lap mỏng đẹp cơ mà Micro của máy đến giờ vẫn không hoạt động được (cả Zoom với Google Meet)."
3261,"Sử dụng tạm ổn, máy mượt, loa ổn, camera ok"
3262,"Hình ảnh đẹp, âm thanh tốt, chạy nhiều cửa sổ mượt"
3263,"Lap tốt trong tầm giá, chơi game nặng như genshin cũng ổn, mỗi tội webcam và loa ngoài thì hơi tệ. Nhân viên nhiệt tình và chuyên nghiệp."
3264,"Bàn phím bấm kêu ồn, trong không gian văn phòng gõ phím cả phòng đều nghe, không êm, do máy sản xuất hay bị lỗi bàn phím AD."
3265,Tuyệt vời !
3266,"Mình mua máy được một tuần cảm thấy máy sử dụng rất mượt tốt, camera nét căng, âm thanh loa ngoài rất to chứ k hề nhỏ tý nào. Cảm thấy rất hài lòng"
3271,Cho e hỏi pin dùng được bao nhiêu tiếng ạ
3273,"Sp chất lương tốt, nhán viên tư vấn nhiệt tình, rất hài lòng về sp, sữ giới thiệu người thân sử dụng sp"
3274,"Mới mua chưa sử dụng nhiều nhưng cảm nhận đầu tiên máy chạy mượt, ngoại hình ở ngoài nhìn đẹp hơn hình chụp"
3278,Cho mình hỏi dùng liên tục thì được bao nhiêu tiếng ạ
3294,Hiện tại thì cảm thấy máy đáp ứng đủ các tác vụ cơ bản.
3296,"mọi thứ đều ổn, nhanh, nhạy, nhưng có điều không thích ở đây là lâu lâu wifi bị load chậm, kết nối wifi chưa ổn lắm. Mọi thứ thì ok hết nha"
3297,Sử dụng được 2 tháng máy có tình trạng khởi động chậm. Wifi bắt sóng rất yếu có khi không bắt được wifi.
3298,"Máy loa nhỏ, chất lượng âm thanh kém. 
Vỏ nhôm khá ok, mỏng nhẹ."
3299,Không anh ạ nó tắt di rồi sáng lại giống khởi động lại ấy. mấy cái app nó lại mở lên như teams hay zalo y như mới bật máy lên luôn ạ nhưng mà nó nháy chứ ko lâu như khởi động lạ ạ
3300,"Thất vọng khi mua sp này , pin hụt nhanh , màn hình bị lỗi loang, để chế độ max độ sáng , bật phần mềm test màn hình chế độ nền màu đen thì 2 góc bản lề phần bên trong màn hình khi để chế độ nền đen có vệt loang nền màu sáng trắng rất rõ, mới đầu mua thì nhỏ cũng ko. Quan tâm lắm đến giờ thì vệt loang khá to,rất thất vọng , con chip khá ổn nhưng pin nhanh hết và loa nghe mức vừa phải chứ ko to,"
3301,máy khá ok nhưng khi sử dụng khoảng 2 tuần thì máy kết nối wifi khá tệ
3305,Chào chị. Dạ cảm ơn chị đã góp ý. Thông tin đến anh.
3306,"sau 7 tháng sử dụng , sản phẩm rất tốt."
3307,"Ưu điểm: 
- pin trâu từ 5 đến 8 tiếng.
- thiết kế đẹp, bàn phím rộng không có phím số gõ rất thoãi mái.
- cấu hình trong tầm giá quá ngon.
- máy dùng thường rất mát, quạt tản nhiệt rất mạnh(có thể tùy chỉnh).
Nhược điểm:
- nhôm trên máy rất mỏng.
- màn hình đủ sáng để dùng trong nhà thôi.
- không biết phải do màn chóng lóa không mà nhìn nó mờ quá.
- win 11 tương thích phần mềm còn kém.
- loa quá bé."
3308,"Máy mua mới, giao KTV cài đặt toàn bộ, khách hàng chỉ mang về và sử dụng. Qua quá trình sử dụng nhận thấy máy hay bị mất kết nối Wi-Fi, gõ tiếng Việt bị lỗi dù đã khởi động lại liên tục. Đã mang máy ra nơi mua kiểm tra nhưng sau một hồi lâu mày mò thì KTV đưa ra một câu trả lời không thuyết phục, xong tình trạng lỗi vẫn như cũ. Đề nghị cửa hàng có biện pháp khắc phục cho tôi. Hiện tại tôi đang phải viết đánh giá bằng điện thoại vì laptop không dùng được."
3309,"Máy dùng khá oke hiệu năng tốt, màn hình ổn trong tầm giá, pin dùng các vụ thông thường lên tới 5 tiếng. Nhân viên phục vụ rất oke"
3310,Máy đang hoạt động tốt
3311,"Render video rất ok
Máy ổn định"
3314,Em có thắc mắc chút là máy em khi mới update xong thì bắt đầu sạc hoặc rút sạc ra thì bị tắt màn hình rồi sáng trở lại luôn thì không biết nó là lỗi do máy hay ntn vì lúc nhà em điện yếu thì máy sẽ bị nháy liên tục ạ
3315,"Tốt đáng sử dụng , mẫu mã hiện đại hợp thời thượng"
3316,"Mới sử dụng 1 tuần thì bị điểm sáng. Để theo dõi tgian xem có bị loang không rồi đem bảo hành. Bàn phím ngon, tản nhiệt êm, máy mượt, mát.."
3317,Sp tốt.nhân viên hỗ trợ nhiệt tình
3318,"Laptop mua về kiểm tra đã thấy vết được dài khoảng 2cm, cái góc bản nề hở khá to,"
3334,"Máy mượt, ok trong tầm giá"
3336,"gọn, đẹp, sang trọng như Macbook, cảm ứng nhạy, là con đẻ của Microsoft nên hdh chạy rất ổn định, thường xuyên đc cập nhật mới, ko có lỗi vặt như máy các hãng khác."
3337,Phục vụ tốt. Nhân viên thân thiện
3339,Sản phẩm tuyệt vời
3340,"Bạn nào có ya định mau phúc vụ cho văn phòng thì dẹp luôn nha, có rất nhiều ứng dụng, ví dụ như ultraviewer hay teamviewer, bhxh tất cả mọi thứ đều k tải dc, kể cả zalo"
3342,Sản phẩm tốt. Sử dụng rất phù hợp với nhu cầu
3343,Rất ok. Mua máy tính lộc lá hơn nhé 🥰
3353,Sản phẩm xài tốt.
3354,"Máy pin rất yếu, sử dụng chỉ đc 2h từ 100% xuống 10%"
3355,"mình mua máy đc gần 1 tháng rồi . nhưng mới sd đc 3 4 hôm có hiện tượng có tiếng sôi máy , sôi được 1 lúc rồi lại thôi . k biết là bị sao ạ ?"
3356,Anh nhân viên tư vấn vấn nhiệt tình vui vẻ 🥰🥰🥰
3357,Moi sai 2 tuan len mang chay le  ok
3358,"chào chị , dạ cảm ơn chị  đã quan tâm sản phẩm bên em ạ  "
3360,Văn phòng dùng ok
3362,"Tốt, pin thì hơi kém..."
3363,Nhiều lúc hay tự nhiên mất kết nối mạng nha
3366,Tôi k sử dụng trực tiếp con gái tôi phàn nàn đang dùng màn hình bỗng tối đen k hiểu kiểu j nhắn tin  nhờ hỗ trợ vài lần rồi k biết nó còn giở trò nữa k ???
3374,Xai rat tot .muot
3375,Sp chay nhanh
3376,Rất tuyệt vời
3377,"Sản phẩm tốt , Nhân viên nhiệt tình ."
3378,Dùng máy tính rất tốt
3379,"Tốt!!! Máy mượt! Pin trâu nữa. Nhu cầu sử dụng cơ bản nên thế này là quá ok lun!! 🥰🥰🥰
Nhưng quan trọng hơn hết là dịch vụ của Điện Máy Xanh và Thế Giới Di Động chưa bao giờ làm mình thất vọng!! ❤️❤️ Mãi đỉnh!! ❤️❤️"
3387,SP tốt mong sẽ gắn bó vs nó đc lâu dài🥰🥰🥰🥰
3389,Dòng máy này có đèn bàn phím không ạ
3390,"Hàng tốt, chạy em, tư vấn nhiệt tình."
3392,"nhân viên tư vấn nhiệt tình. điểm trừ lớn nhất mình không thích trên con máy này là khe tản nhiệt nằm giữa màn hình, nghe nhạc hoạc làm việc 1 lúc thôi là khí nóng phả ngay lên màn hình"
3393,"Máy tính chạy mượt mà, ram 8g nên khá ổn định, mới dùng nên chưa có nhiều đánh giá khách quan nhưng thiết kế khá đẹp, tuy là vỏ nhựa nhưng trông khá đắt tiền. Pin thì hơi khiêm tốn khi dùng liên tục chỉ được khoảng 4 giờ. Dùng lâu thì cảm thấy máy chỉ nóng nhẹ.
- A/c tư vấn siêu nhiệt tình, nhiệt tình đến mức ngại luôn :)) 
- Nếu mọi người mua để học tập, văn phòng, sử dụng các tác vụ cơ bản hay pts nhẹ thì rcm nên mua máy tính này nha vì giá khá tốt, có nhiều khuyến mại và có chương trình ưu đãi cho tân sinh viên nữa ✨✨✨"
3398,"Tốt, nhỏ gọn, ưng ý"
3399,"Thỉnh thoảng bị đơ khởi động lại, máy hình thức đẹp mắt"
3401,"Máy mới mua và sử dụng đc thời gian ngắn. Hiện tại thấy vẫn ổn, đáp ứng đc nhu cầu. Xin cảm ơn."
3402,Máy chạy nhanh mượt tốt
3403,"Sản phẩm dùng tương đối ổn trự việc dòng HP này tản nhiệt kém (mở khoảng 5 tab trên Chrome và một ứng dụng nữa là quạt siêu nóng)
Nhưng thật sự dịch vụ của TGDD lần này khá tệ vì khách có nhu cầu nâng RAM, sau khi kỹ thuật xem xét thì bảo sẽ gửi về hãng để họ lắp thêm và báo giá sau nhưng sau đó bên hãng báo lại là bên họ không hỗ trợ lắp RAM và nói khách ra ngoài lắp
Nếu đã vậy thì tại sao bên kỹ thuật lại nhận máy và hỗ trợ thông tin cho khách sai lệch như vậy, khách phải gửi lại máy và chờ trong 15 ngày rồi không được hỗ trợ như mục đích ban đầu.
Bên hãng gọi báo tình trạng máy vào ngày 22.04, báo không hỗ trợ được và sẽ gửi lại máy cho TGDD nhưng hiện tại đã 7 (29.04) ngày mà khách vẫn chưa nhận được thông báo lấy lại máy."
3408,Dùng ngon vỏ chắc chắn bin thì hơi yếu . nhân viên điện máy nhiệt tình thân thiện
3410,Sang xịn mịn nha
3412,phục vụ tốt thái độ rất vui vẻ hoà nhã ok
3413,Chào anh. Dạ không biết em có thể hỗ trợ thông tin  gì cho anh không ạ. Mong nhận được phản hồi từ anh.
3416,"dùng đc 10 ngày. thấy cũng ổn, chỉ hơi nhanh hết pin."
3418,Sticker quá hợp. Giá như được tặng sticker khi mua :))
3427,Sản phẩm xài rất ok
3429,Dễ sử dụng cập nhật các phần mềm tốt
3431,Sản phẩm tốt. chỉ có nhược điểm là ko có đèn bàn phím thôi.
3432,Soao ko update đc v ạ
3433,Sử dụng rất tốt.nhân viên tư vấn nhiệt tình
3434,"Màn hình nét. Màu sắc khá ổn. Máy tỏa nhiệt khu vực mặt đáy nhiều do CPU mạnh, nhiều nhân nhiều luồng."
3435,"Máy ổn, mượt, nvien nhiệt tình"
3436,Dùng cũng ok. Tuy nhiên có 1 số vấn đề là ram quá ít nên hay bị lag. Khắc phục bằng cách lắp thêm ram cũng như lắp thêm ổ cứng. Máy chạy ứng dụng edit khá lag. Đang tìm cách khắc phục. Chắc phải dùng proxy.
3438,Máy này sạc bao lâu là đầy pin
3442,"I3 Gen 10.
VGA rời.
SSD M2 256Gb.
Ram có thể nâng thêm.
Monitor 15.6' Full HD. 
>P/p tốt."
3443,"Máy nhỏ, gọn, nhẹ. 
Sạc theo máy của Liteon, không có logo của ACER. 
Full box."
3444,Máy tính âm thanh hơi nhỏ.chạy hơi chậm
3449,mượt  và tốt
3450,"Sản phẩm sài síu là quạt kêu to, hiệu năng ổn nhưng gam ít nên hơi bị lag"
3451,"Sp thiết kế đẹp , sang trọng, gọn nhẹ, thuận tiện di chuyển"
3453,Sản phẩm đem đến sự hài lòng cho người sử dụng. Kết hợp với tiện ích màn hình cảm ứng rất thuận tiện khi thao tác. Cám ơn sự phục vụ của ĐMX!
3454,Máy sử dụng ok
3455,"Sản phẩm tốt, màng đẹp viền mỏng, cảm ứng tốt, nhưng chip hơi yếu, Ram ít"
3457,Sản phẩm dùng tốt!
3458,"Thực sự thất vọng về chế độ chăm sóc khách hàng sau mua của TGDD.
Mình mới mua máy đợt đầu tháng 6 tới giờ dùng gần 2 tháng. Đánh giá mánh nóng, nhanh hết pin (dùng đc khoảng 3 tiếng) và gần đây là bị giật lag nhiều, gõ chữ hay bị lỗi tự lặp lại. Do không có thời gian ra trực tiếp cửa hàng nên mk có nhắn trên page nhờ hỗ trợ thì nhận đc tin nhắn máy ngừng kinh doanh k hỗ trợ. Ủa, mình vào link vẫn thấy đang bán đây mà??? Rồi bên page nói sẽ chuyển sang bộ phận kỹ thuật ntin, nhưng cứ nhắn đc 1 tin thì lại là tin nhắn đợi bên mình chuyển kỹ thuật. Từ hôm qua tới giờ mình vẫn chưa nhận đc sự hỗ trợ nào từ bên TGDD cả!
Và mình khá bức xúc đó ạ. Vậy là cứ bán xong là hết trách nhiệm với sản phẩm của mình hay sao?"
3459,"Máy rất nhanh xuống pin, mình muốn đổi trả sản phẩm. Lúc tư vấn nhân viên k nói là màn hình cảm ứng, đến lúc thanh toán mới nói"
3460,các bạn cân nhắc trước khi mua vì Ram hơi yếu. 4gb ram chỉ đủ khởi động máy và chạy nhẹ vài tab thôi. Nếu xác định mua thì phải gắn thêm Ram.
3461,"Dùng ổn định, màu sắc hiển thị đẹp, laptop này rất phù hợp cho sinh viên, nhân viên văn phòng, giáo viên dùng trong các tác vụ văn phòng thường ngày."
3462,Máy tuyệt vời
3463,Rất hài lòng.nếu có thể nâng cấp ram lên được 8G thì tuyệt vời quá.
3464,"Hay tràn RAM làm máy bị đơ, loa nhỏ"
3467,May su dung den hien tai la tuong doi tot
3468,"Phần mềm mượt
Chất lượng màn hình sắc nét cao"
3473,Máy mới mua mình chỉ dùng với Google để vào cho con học. Mới đầu thì thấy ok chỉ tiếc là pin hơi yếu
3477,Thêm nhiêu khuyến mại nữa thì tốt
3481,"màu ảnh không tươi nét như mong đợi, nó nhạt nhạt nhợt nhợt :nhưng khum thấy thay đổi gì cả hết 
màu vẫn nhạt nhạt như vậy"
3482,"Máy đẹp, mỏng nhẹ, tiện mang đi cho các bạn hs sv"
